CNE			NOM			PRENOM		FILIERE		ANNEE-ETUDE	E-MAIL
AXXXXXX		ABCDEF		EFGHJ		CP/GI/GC..		Number()		xxxxx@mail.xxx
R667788		jomani		said		CP		1		said@mail.com
233211		toufail		omar		GC		4		omartofail@mail.com
E771392		Amine		Ahmed		GI		3		Ahmed.amine@hotmail.fr
T44093		Dow		bochra		GEE		4		dowww@mail.com
t556677		serr		said		CP		2		said@mail.com
W998877		malki		said		GC		4		said@mail.com
E776388		marbooh		sara		CP		2		sara@mail.com
SD09874		ADMIN		ADMIN		CP		7		admin.admin@mail.mail
Qu889199		marbouh		said		GC		4		said@mail.com
E382910		abou		sara		CP		2		sara@mail.com
R123456		wiran		larbi		GI		3		larbi@mail.com
R667788		lllll		lllll		GC		2		larbi@mail.com
R123456		dari		mohamed		GC		3		darimoha@mail.com
R123456		dari		mohamed		GC		3		darimoha@mail.com
R123456		dari		mohamed		GC		3		darimoha@mail.com
R667788		lllll		lllll		GC		2		larbi@mail.com
R556677		abd		jamal		GC		4		jamal@mail.com
Q991822		khouribga		amine		DATA		4		amine@mail.com
R324155		malki		said		GC		4		malki@mail.com
R999988		aboujas		sara		GEE		4		sara@mail.com
R999988		aboujas		sara		GEE		4		sara@mail.com
R999988		aboujas		sara		GEE		4		sara@mail.com
R999988		aboujas		sara		GEE		4		sara@mail.com
R999988		aboujas		sara		GEE		4		sara@mail.com
R324155		malki		said		GC		4		malki@mail.com
R324155		malki		said		GC		4		malki@mail.com
R324155		malki		said		GC		4		malki@mail.com
R324155		malki		said		GC		4		malki@mail.com
R324155		malki		said		GC		4		malki@mail.com
R324155		malki		said		GC		4		malki@mail.com
R324155		malki		said		GC		4		malki@mail.com
R324155		malki		said		GC		4		malki@mail.com
R324155		malki		said		GC		4		malki@mail.com
R324155		malki		said		GC		4		malki@mail.com
SD09874		ADMIN		ADMIN		CP		7		admin.admin@mail.mail
SD09874		ADMIN		ADMIN		CP		7		admin.admin@mail.mail
R123456		Admin		Admin		GI		7		admin.admin7@mail.com
K12345		RAKIB		DIUGA		GI		3		FAFA@GMAIL.COM
K12345		RAKIB		DIUGA		GI		3		FAFA@GMAIL.COM
K1234		DOHA		RAKIB		GC		4		GMAIL@GMAIL.COM
